query,scan_bytes,latency_ms
SELECT COUNT(*) FROM events WHERE month = 'Jan',10760083,120
SELECT * FROM users WHERE id = 87325,971950,10
SELECT * FROM orders WHERE total > 72227,5048288,49
SELECT COUNT(*) FROM events WHERE month = 'Mar',10931423,117
SELECT * FROM users WHERE id = 48081,808710,18
SELECT * FROM users WHERE id = 87859,1188975,10
SELECT COUNT(*) FROM events WHERE month = 'Feb',10606555,116
SELECT * FROM orders WHERE total > 22969,4089516,50
SELECT * FROM orders WHERE total > 70963,5093474,46
SELECT * FROM orders WHERE total > 10271,5000071,48
SELECT * FROM orders WHERE total > 8595,4342870,50
SELECT * FROM orders WHERE total > 98712,5661390,59
SELECT * FROM users WHERE id IN (431),1266704,7
"SELECT user_id, SUM(total) FROM orders WHERE region = 'garden' GROUP BY user_id",9269476,94
SELECT * FROM users WHERE id = 90556,822794,19
SELECT COUNT(*) FROM events WHERE month = 'Mar',11956706,119
"SELECT name, email FROM users WHERE signup_date > '2025-09-10'",3702284,47
SELECT * FROM users WHERE id = 15025,814466,18
SELECT * FROM sessions WHERE duration > 86781,4833037,56
"SELECT * FROM orders WHERE status IN ('cancelled', 'cancelled', 'pending', 'shipped')",2681627,31
SELECT * FROM orders WHERE total > 2995,5392311,56
SELECT * FROM orders WHERE total > 76367,5804711,60
"SELECT user_id, SUM(total) FROM orders WHERE region = 'auto' GROUP BY user_id",7868029,83
SELECT COUNT(*) FROM events WHERE month = 'Jan',9305835,92
SELECT * FROM users WHERE id = 18451,1146657,14
SELECT * FROM users WHERE id = 16504,1180115,8
SELECT * FROM users WHERE id IN (96),1488049,24
SELECT * FROM orders WHERE total > 5601,5178271,59
SELECT * FROM orders WHERE total > 64246,5026859,60
SELECT * FROM sessions WHERE duration > 46345,4842776,43
SELECT * FROM users WHERE id = 66350,819212,20
SELECT COUNT(*) FROM events WHERE month = 'May',9443259,94
SELECT * FROM users WHERE id = 60922,912613,22
SELECT COUNT(*) FROM events WHERE month = 'May',11819520,128
SELECT * FROM orders WHERE total > 57665,4194440,53
SELECT * FROM users WHERE id = 89737,1043458,18
SELECT * FROM users WHERE id = 97917,906846,11
SELECT * FROM users WHERE id = 93985,937955,12
"SELECT name, email FROM users WHERE signup_date > '2025-09-10'",3916047,52
SELECT * FROM orders WHERE total > 23521,5159325,59
SELECT * FROM users WHERE id = 79002,956412,14
SELECT * FROM users WHERE id = 90625,1198200,6
SELECT * FROM orders WHERE total > 32182,5375960,65
SELECT * FROM orders WHERE total > 18160,5064610,57
SELECT * FROM sessions WHERE duration > 16007,4726491,60
"SELECT * FROM users WHERE id IN (318, 66, 378, 35, 233)",1104511,20
SELECT * FROM orders WHERE total > 10451,5686404,68
"SELECT name, email FROM users WHERE signup_date > '2025-09-10'",3795114,37
SELECT COUNT(*) FROM events WHERE month = 'Feb',11213804,113
SELECT * FROM orders WHERE total > 79925,5896741,60
SELECT * FROM orders WHERE total > 41341,4043545,47
SELECT * FROM orders WHERE total > 17271,5021015,62
SELECT * FROM orders WHERE total > 96458,5140174,63
SELECT COUNT(*) FROM events WHERE month = 'Jan',10807942,114
SELECT COUNT(*) FROM events WHERE month = 'Apr',10853540,108
SELECT * FROM products WHERE category = 'auto',2028797,20
SELECT * FROM orders WHERE total > 58489,4103209,50
SELECT * FROM users WHERE id = 21344,983002,5
SELECT * FROM sessions WHERE duration > 30087,3527616,30
"SELECT * FROM users WHERE id IN (570, 655, 575)",1353464,20
SELECT * FROM orders WHERE total > 23270,5437177,56
"SELECT * FROM users WHERE id IN (533, 701, 187, 46, 296)",1235057,20
SELECT * FROM orders WHERE total > 86343,4960854,62
SELECT * FROM products WHERE category = 'books',1994923,23
SELECT * FROM products WHERE category = 'books',2242805,22
SELECT * FROM products WHERE category = 'toys',1730390,14
SELECT * FROM orders WHERE total > 63034,4244342,53
"SELECT user_id, SUM(total) FROM orders WHERE region = 'auto' GROUP BY user_id",7150365,68
"SELECT user_id, SUM(total) FROM orders WHERE region = 'books' GROUP BY user_id",9937583,94
SELECT * FROM users WHERE id IN (950),1119726,22
SELECT * FROM orders WHERE total > 28963,5646179,56
SELECT * FROM users WHERE id = 35856,812046,20
SELECT COUNT(*) FROM events WHERE month = 'Mar',11801464,124
SELECT * FROM products WHERE category = 'auto',1924236,14
SELECT * FROM users WHERE id = 2405,952300,23
SELECT COUNT(*) FROM events WHERE month = 'Feb',9359783,89
"SELECT * FROM users WHERE id IN (10, 838)",1452997,12
"SELECT * FROM users WHERE id IN (589, 541)",1429116,16
SELECT * FROM orders WHERE total > 4123,4544346,56
SELECT * FROM orders WHERE total > 88160,5068329,45
SELECT * FROM users WHERE id = 26871,899566,14
SELECT * FROM users WHERE id = 83655,1163128,25
SELECT COUNT(*) FROM events WHERE month = 'Apr',9470410,91
SELECT * FROM orders WHERE total > 57063,4062237,54
"SELECT user_id, SUM(total) FROM orders WHERE region = 'toys' GROUP BY user_id",7604508,79
SELECT * FROM orders WHERE total > 42963,5647797,63
"SELECT * FROM users WHERE id IN (969, 241, 948, 583, 516)",1133018,16
SELECT * FROM orders WHERE total > 95641,5730680,53
"SELECT name, email FROM users WHERE signup_date > '2025-06-20'",2727146,35
SELECT * FROM orders WHERE total > 85487,5742709,53
SELECT * FROM users WHERE id = 52912,1106859,11
"SELECT name, email FROM users WHERE signup_date > '2025-06-20'",3258668,27
SELECT * FROM users WHERE id = 53548,1128711,9
SELECT * FROM users WHERE id = 82335,1077315,18
SELECT * FROM users WHERE id = 30498,1003513,21
"SELECT user_id, SUM(total) FROM orders WHERE region = 'auto' GROUP BY user_id",9564424,103
SELECT * FROM orders WHERE total > 47482,5878936,59
SELECT * FROM users WHERE id = 94375,997676,20
SELECT COUNT(*) FROM events WHERE month = 'Apr',11360284,113
SELECT * FROM users WHERE id = 85166,921454,13
SELECT * FROM sessions WHERE duration > 24442,4008248,51
SELECT COUNT(*) FROM events WHERE month = 'Jun',9321664,103
SELECT COUNT(*) FROM events WHERE month = 'Jan',10587723,111
SELECT * FROM products WHERE category = 'electronics',1797053,21
SELECT * FROM users WHERE id = 7222,1120279,14
SELECT * FROM users WHERE id = 36575,1032786,11
SELECT * FROM users WHERE id IN (659),1119320,7
SELECT * FROM orders WHERE total > 92820,5295391,59
SELECT * FROM orders WHERE total > 51522,5106526,62
SELECT * FROM users WHERE id = 22080,1066093,9
"SELECT * FROM users WHERE id IN (349, 770, 935)",1210692,16
"SELECT * FROM users WHERE id IN (473, 190)",1050333,7
SELECT * FROM products WHERE category = 'toys',1664018,15
SELECT * FROM orders WHERE total > 22613,5191275,52
SELECT * FROM orders WHERE total > 93503,5361544,62
SELECT * FROM orders WHERE total > 51589,4483879,50
SELECT * FROM users WHERE id = 7299,1155883,17
SELECT * FROM orders WHERE total > 5583,5752507,65
SELECT * FROM orders WHERE total > 80272,5501195,57
SELECT * FROM users WHERE id = 22593,1008265,6
SELECT * FROM users WHERE id = 72317,1099190,9
SELECT * FROM users WHERE id = 41862,1026410,15
"SELECT name, email FROM users WHERE signup_date > '2025-06-20'",2886831,23
SELECT * FROM orders WHERE total > 93220,4330786,54
SELECT * FROM users WHERE id = 86005,1177314,12
SELECT * FROM orders WHERE total > 92585,5002453,65
SELECT * FROM users WHERE id = 96263,1154524,25
SELECT COUNT(*) FROM events WHERE month = 'Jun',11005726,119
SELECT * FROM orders WHERE total > 90294,4413812,54
SELECT * FROM users WHERE id = 50930,989800,5
SELECT * FROM orders WHERE total > 46082,5912358,74
SELECT * FROM users WHERE id = 29623,1114045,19
SELECT * FROM orders WHERE total > 42389,5015913,51
"SELECT name, email FROM users WHERE signup_date > '2025-06-20'",3516432,46
SELECT * FROM users WHERE id = 13534,1199258,21
SELECT * FROM users WHERE id = 84885,966739,24
SELECT * FROM users WHERE id = 38277,953471,7
SELECT * FROM users WHERE id = 92340,944537,10
SELECT COUNT(*) FROM events WHERE month = 'May',11072160,112
SELECT * FROM users WHERE id = 10816,805269,9
SELECT * FROM products WHERE category = 'electronics',2169577,32
SELECT * FROM users WHERE id = 78217,1126835,21
SELECT * FROM orders WHERE total > 71722,4146140,47
SELECT * FROM products WHERE category = 'electronics',2362235,36
SELECT * FROM products WHERE category = 'auto',1962714,31
SELECT * FROM users WHERE id = 75042,1191145,9
SELECT * FROM users WHERE id = 55731,943224,15
SELECT * FROM orders WHERE total > 73763,4200452,52
SELECT * FROM users WHERE id = 57924,1165691,12
"SELECT name, email FROM users WHERE signup_date > '2025-09-10'",3061744,31
"SELECT name, email FROM users WHERE signup_date > '2025-09-10'",2677255,30
SELECT * FROM users WHERE id = 91620,1128214,25
SELECT * FROM orders WHERE total > 19271,4660390,57
"SELECT * FROM users WHERE id IN (118, 144, 477, 110, 719)",1230615,27
"SELECT user_id, SUM(total) FROM orders WHERE region = 'auto' GROUP BY user_id",7726973,81
SELECT * FROM users WHERE id = 66092,974470,15
SELECT * FROM users WHERE id = 65294,949658,11
SELECT * FROM users WHERE id = 89366,962514,7
SELECT * FROM users WHERE id = 85257,1043127,14
SELECT COUNT(*) FROM events WHERE month = 'May',11834576,124
"SELECT name, email FROM users WHERE signup_date > '2025-06-20'",3816298,40
SELECT * FROM orders WHERE status IN ('cancelled'),2045136,23
SELECT * FROM users WHERE id = 52646,1199398,25
SELECT COUNT(*) FROM events WHERE month = 'May',10670177,115
SELECT COUNT(*) FROM events WHERE month = 'Jun',11217554,127
SELECT * FROM users WHERE id = 67202,1134811,8
SELECT COUNT(*) FROM events WHERE month = 'Mar',9997294,95
SELECT * FROM products WHERE category = 'garden',2285676,37
SELECT * FROM orders WHERE total > 76103,5081956,56
SELECT * FROM orders WHERE total > 53076,5577479,60
"SELECT name, email FROM users WHERE signup_date > '2025-06-20'",2031558,23
SELECT * FROM users WHERE id = 67900,1099524,18
